"imgthumbnail href","imgthumbnail src","brand-label","brand-label href","product-name","in-stock","stock-qty","list-attribute","list-attribute 2","list-attribute 3","list-attribute 4","list-attribute 5","rrp","has-savings-price","price","has-vat-price","label 2","buttons"
                                var obj_1096333 = JSON.parse(JSON.stringify($t_item));"
"https://www.officemonster.co.uk/chair-mats/cleartex-pvc-chair-mat-hard-floor-lipped-1200x900mm-clear-1299225lv--4","https://cdn3.evostore.io/productimages/vow_premium/l/fl74157.jpg","Cleartex","https://www.officemonster.co.uk/searchbrand?querybrand=1285&name=Cleartex","Floortex Cleartex Chair Mat Hard Floor Lipped 1200x900x2.2mm PVC Clear 1299225LV","In Stock","19","Any special delivery instructions or site restrictions must be advised on your order prior to despatch; delivery failures due to missing instructions will incur a fee based on the order size","Colour: Clear","Dimensions: 1210 x 920mm","Easy ride surface for wheeled chairs","Free of tin and cadmium for non-toxic use","RRP
                                    £108.05","47","£57.29","£68.75","Product Code: FL74157","$t_item = {};
                                $t_item.item_id = 1006625;
                                $t_item.item_sku = ""FL74157"";
                                $t_item.item_catalog_id = 1008;
                                $t_item.item_supplier_id = 1001;
                                $t_item.item_is_multiple = 0;
                                $t_item.item_minimum_order = 1;
                                $t_item.item_maximum_order = 0;
                                $t_item.item_is_contract = 0;
                                $t_item.item_name = ""Floortex Cleartex Chair Mat Hard Floor Lipped 1200x900x2.2mm PVC Clear 1299225LV"";
                                $t_item.item_image_thumbnail_path = 'https://cdn3.evostore.io/productimages/vow_premium/m/';
                                $t_item.item_image_thumbnail = 'fl74157.jpg';
                                $t_item.item_image_xl = '';
                                $t_item.item_image_xl_path = '';
                                $t_item.item_cost_center_id = 0;
                                $t_item.pack_uom = ""1"";
                                $t_item.item_department_id = 0;
                                $t_item.item_pack = ""1"";
                                $t_item.item_images = [];
                                $t_item.item_price_type = 0;
                                $t_item.item_price_unit = 1;
                                $t_item.modifiers = JSON.parse('null');

                                var obj_1096334 = JSON.parse(JSON.stringify($t_item));"
"https://www.officemonster.co.uk/chair-mats/cleartex-chair-mat-hard-floor-1200x750mm-clear-fl74191--4","https://cdn3.evostore.io/productimages/vow_premium/l/fl74191.jpg","Cleartex","https://www.officemonster.co.uk/searchbrand?querybrand=1285&name=Cleartex","Floortex PVC Rectangular Chair Mat for Hard Floors 1200x750x17mm Clear FL74191","In Stock","32","50% of our manufacturing site?s energy comes from on-site and external renewable sources","All of Floortex's PVC mats are recyclable, made with up to 25% recycled material","Colour: Clear","Dimensions: 1200x750mm","Material: PVC","RRP
                                    £87.58","37","£55.02","£66.02","Product Code: FL74191","$t_item = {};
                                $t_item.item_id = 1006627;
                                $t_item.item_sku = ""FL74191"";
                                $t_item.item_catalog_id = 1008;
                                $t_item.item_supplier_id = 1001;
                                $t_item.item_is_multiple = 0;
                                $t_item.item_minimum_order = 1;
                                $t_item.item_maximum_order = 0;
                                $t_item.item_is_contract = 0;
                                $t_item.item_name = ""Floortex PVC Rectangular Chair Mat for Hard Floors 1200x750x17mm Clear FL74191"";
                                $t_item.item_image_thumbnail_path = 'https://cdn3.evostore.io/productimages/vow_premium/m/';
                                $t_item.item_image_thumbnail = 'fl74191.jpg';
                                $t_item.item_image_xl = '';
                                $t_item.item_image_xl_path = '';
                                $t_item.item_cost_center_id = 0;
                                $t_item.pack_uom = ""1"";
                                $t_item.item_department_id = 0;
                                $t_item.item_pack = ""1"";
                                $t_item.item_images = [];
                                $t_item.item_price_type = 0;
                                $t_item.item_price_unit = 1;
                                $t_item.modifiers = JSON.parse('null');

                                var obj_1096336 = JSON.parse(JSON.stringify($t_item));"
"https://www.officemonster.co.uk/chair-mats/floortex-polycarbonate-rectangle-carpet-chair-mat-119x89cm-118923er--4","https://cdn3.evostore.io/productimages/vow_premium/l/fl74210.jpg","Cleartex","https://www.officemonster.co.uk/searchbrand?querybrand=1285&name=Cleartex","Floortex Ultimat Polycarbonate Rectangular Chair Mat for Carpets upto 12mm Thick 1190x890mm 118923ER","In Stock","3","100% recyclable","Child and pet safe, Greenguard certified","Colour: Clear","Dimensions: 1190 x 890mm","Environmentally safe, 50% of our manufacturing site?s energy comes from on-site and external renewable sources","RRP
                                    £107.85","21","£85.09","£102.11","Product Code: FL74210","$t_item = {};
                                $t_item.item_id = 1006628;
                                $t_item.item_sku = ""FL74210"";
                                $t_item.item_catalog_id = 1008;
                                $t_item.item_supplier_id = 1001;
                                $t_item.item_is_multiple = 0;
                                $t_item.item_minimum_order = 1;
                                $t_item.item_maximum_order = 0;
                                $t_item.item_is_contract = 0;
                                $t_item.item_name = ""Floortex Ultimat Polycarbonate Rectangular Chair Mat for Carpets upto 12mm Thick 1190x890mm 118923ER"";
                                $t_item.item_image_thumbnail_path = 'https://cdn3.evostore.io/productimages/vow_premium/m/';
                                $t_item.item_image_thumbnail = 'fl74210.jpg';
                                $t_item.item_image_xl = '';
                                $t_item.item_image_xl_path = '';
                                $t_item.item_cost_center_id = 0;
                                $t_item.pack_uom = ""1"";
                                $t_item.item_department_id = 0;
                                $t_item.item_pack = ""1"";
